Tarih,Test Sayisi,Toplam Hasta Sayisi,Toplam Olum Sayisi,Hastalarda Pnomoni Oranı,Agir hasta Sayisi,Toplam Iyilesen Hasta Sayisi,Bugunku Vaka Sayisi,Gunku Hasta Sayisi,Gunku Test Sayisi,Gunku Olum Sayisi,Gunku Iyılesen Hasta Sayisi
Apr 26,2020,898742,110130,2805,,,29140,,2357,30177,99
Apr 25,2020,868565,107773,2706,,,25582,,2861,38308,106
Apr 24,2020,830257,104912,2600,,,21737,,3122,38351,109
Apr 23,2020,791906,101790,2491,,,18491,,3116,40962,115
Apr 22,2020,750944,98674,2376,,,16477,,3083,37535,117
Apr 21,2020,713409,95591,2259,,,14918,,4611,39429,119
Apr 20,2020,673980,90980,2140,,,13430,,4674,39703,123
Apr 19,2020,634277,86306,2017,,,11976,,3977,35344,127
Apr 18,2020,598933,82329,1890,,,10453,,3783,40520,121
Apr 17,2020,558413,78546,1769,,,8631,,4353,40270,126
Apr 16,2020,518143,74193,1643,,,7089,,4801,40427,125
Apr 15,2020,477716,69392,1518,,,5674,,4281,34090,115
Apr 14,2020,443626,65111,1403,,,4799,,4062,33070,107
Apr 13,2020,410556,61049,1296,,,3957,,4093,34456,98
Apr 12,2020,376100,56956,1198,,,3446,,4789,35720,97
Apr 11,2020,340380,52167,1101,,,2965,,5138,33170,95
Apr 10,2020,307210,47029,1006,,,2423,,4747,30864,98
Apr 9,2020,276346,42282,908,,,2142,,4056,28578,96
Apr 8,2020,247768,38226,812,,,1846,,4117,24900,87
Apr 7,2020,222868,34109,725,,,1582,,3892,20023,76
Apr 6,2020,202845,30217,649,,,1326,,3148,21400,75
Apr 5,2020,181445,27069,574,,,1042,,3135,20065,73
Apr 4,2020,161380,23934,501,,,786,,3013,19664,76
Apr 3,2020,141716,20921,425,,,484,,2786,16160,69
Apr 2,2020,125556,18135,356,,,415,,2456,18757,79
Apr 1,2020,106799,15679,277,,,333,,2148,14396,63
Mar 31,2020,92403,13531,214,,,243,,2704,15422,46
Mar 30,2020,76981,10827,168,,,162,,1610,11535,37
Mar 29,2020,65446,9217,131,,,105,,1815,9982,23
Mar 28,2020,55464,7402,108,,,70,,1704,7641,16
Mar 27,2020,47823,5698,92,,,42,,2069,7533,17
Mar 26,2020,,3629,75,,,,,,,
Mar 25,2020,,2433,59,,,,,,,
Mar 24,2020,,1872,44,,,,,,,
Mar 23,2020,,1529,37,,,,,,,
Mar 22,2020,,1236,30,,,,,,,
Mar 21,2020,,947,21,,,,,,,
Mar 20,2020,,670,9,,,,,,,
Mar 19,2020,,359,4,,,,,,,
Mar 18,2020,,191,2,,,,,,,
Mar 17,2020,,98,1,,,,,,,
Mar 16,2020,,47,,,,,,,,
Mar 15,2020,,18,,,,,,,,
Mar 14,2020,,6,,,,,,,,
Mar 13,2020,,5,,,,,,,,
Mar 12,2020,,1,,,,,,,,
Mar 11,2020,,1,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,226513,50,4152
,,,,,,,,,233946,66,5835
,,,,,,,,,234161,38,5490
,,,,,,,,,229582,35,5084
,,,,,,,,,232257,48,5103
,,,,,,,,,238867,43,5063
,,,,,,,,,234439,46,5162
,,,,,,,,,227273,49,5506
,,,,,,,,,222068,37,5242
,,,,,,,,,224184,37,5217
,,,,,,,,,228826,59,5126
,,,,,,,,,226427,48,5012
,,,,,,,,,225253,52,4636
,,,,,,,,,226651,37,4446
,,,,,,,,,219737,35,4735
,,,,,,,,404,216252,50,4161
,,,,,,,,478,218924,45,4913
,,,,,,,,461,223782,55,5352
,,,,,,,,462,225537,42,6219
,,,,,,,,522,228163,45,7191
,,,,,,,,510,229846,53,6536
,,,,,,,,431,223525,58,5327
,,,,,,,,390,215294,52,5937
,,,,,,,,470,222561,51,7402
,,,,,,,,477,222936,56,7184
,,,,,,,,498,223385,59,5846
,,,,,,,,550,224192,65,5917
,,,,,,,,565,223238,57,5214
,,,,,,,,429,221052,51,5093
,,,,,,,,409,213297,63,4219
,,,,,,,,494,215496,51,4195
,,,,,,,,497,224128,59,4427
,,,,,,,,509,225064,62,4143
,,,,,,,,548,227163,71,4632
,,,,,,,,532,223846,84,4186
,,,,,,,,428,219290,74,4585
